month_start,month_label,component,component_order,value
2023-07-01,2023-07,expansion_mrr,3,2057.82
2023-07-01,2023-07,reactivation_mrr,4,0.0
2023-07-01,2023-07,contraction_mrr,5,-140.4
2023-07-01,2023-07,churned_mrr,6,0.0
2023-07-01,2023-07,closing_mrr,7,423532.58
2023-08-01,2023-08,opening_mrr,1,423532.58
2023-08-01,2023-08,new_mrr,2,56215.35
2023-08-01,2023-08,expansion_mrr,3,5783.11
2023-08-01,2023-08,reactivation_mrr,4,0.0
2023-08-01,2023-08,contraction_mrr,5,-429.35
2023-08-01,2023-08,churned_mrr,6,0.0
2023-08-01,2023-08,closing_mrr,7,485101.69
2023-09-01,2023-09,opening_mrr,1,485101.69
2023-09-01,2023-09,new_mrr,2,35537.1
2023-09-01,2023-09,expansion_mrr,3,7827.86
2023-09-01,2023-09,reactivation_mrr,4,0.0
2023-09-01,2023-09,contraction_mrr,5,-1142.74
2023-09-01,2023-09,churned_mrr,6,0.0
2023-09-01,2023-09,closing_mrr,7,527323.91
2023-10-01,2023-10,opening_mrr,1,527323.91
2023-10-01,2023-10,new_mrr,2,47480.75
2023-10-01,2023-10,expansion_mrr,3,1951.58
2023-10-01,2023-10,reactivation_mrr,4,0.0
2023-10-01,2023-10,contraction_mrr,5,-1425.56
2023-10-01,2023-10,churned_mrr,6,-9650.25
2023-10-01,2023-10,closing_mrr,7,565680.43
2023-11-01,2023-11,opening_mrr,1,565680.43
2023-11-01,2023-11,new_mrr,2,30726.1
2023-11-01,2023-11,expansion_mrr,3,6587.46
2023-11-01,2023-11,reactivation_mrr,4,0.0
2023-11-01,2023-11,contraction_mrr,5,-543.2
2023-11-01,2023-11,churned_mrr,6,-1317.05
2023-11-01,2023-11,closing_mrr,7,601133.74
2023-12-01,2023-12,opening_mrr,1,601133.74
2023-12-01,2023-12,new_mrr,2,31257.35
2023-12-01,2023-12,expansion_mrr,3,2411.9
2023-12-01,2023-12,reactivation_mrr,4,0.0
2023-12-01,2023-12,contraction_mrr,5,-6253.41
2023-12-01,2023-12,churned_mrr,6,-1069.46
2023-12-01,2023-12,closing_mrr,7,627480.12
2024-01-01,2024-01,opening_mrr,1,627480.12
2024-01-01,2024-01,new_mrr,2,93401.1
2024-01-01,2024-01,expansion_mrr,3,8787.75
2024-01-01,2024-01,reactivation_mrr,4,0.0
2024-01-01,2024-01,contraction_mrr,5,-1363.3
2024-01-01,2024-01,churned_mrr,6,-312.0
2024-01-01,2024-01,closing_mrr,7,727993.67
2024-02-01,2024-02,opening_mrr,1,727993.67
2024-02-01,2024-02,new_mrr,2,107864.25
2024-02-01,2024-02,expansion_mrr,3,19056.18
2024-02-01,2024-02,reactivation_mrr,4,0.0
2024-02-01,2024-02,contraction_mrr,5,-1274.28
2024-02-01,2024-02,churned_mrr,6,-11658.79
2024-02-01,2024-02,closing_mrr,7,841981.03
2024-03-01,2024-03,opening_mrr,1,841981.03
2024-03-01,2024-03,new_mrr,2,69258.75
2024-03-01,2024-03,expansion_mrr,3,15330.56
2024-03-01,2024-03,reactivation_mrr,4,0.0
2024-03-01,2024-03,contraction_mrr,5,-796.0
2024-03-01,2024-03,churned_mrr,6,-1477.3
2024-03-01,2024-03,closing_mrr,7,924297.04
2024-04-01,2024-04,opening_mrr,1,924297.04
2024-04-01,2024-04,new_mrr,2,33936.8
2024-04-01,2024-04,expansion_mrr,3,5425.44
2024-04-01,2024-04,reactivation_mrr,4,0.0
2024-04-01,2024-04,contraction_mrr,5,-355.87
2024-04-01,2024-04,churned_mrr,6,-10812.28
2024-04-01,2024-04,closing_mrr,7,952491.13
2024-05-01,2024-05,opening_mrr,1,952491.13
2024-05-01,2024-05,new_mrr,2,77610.7
2024-05-01,2024-05,expansion_mrr,3,10429.95
2024-05-01,2024-05,reactivation_mrr,4,0.0
2024-05-01,2024-05,contraction_mrr,5,-5574.14
2024-05-01,2024-05,churned_mrr,6,-2004.18
2024-05-01,2024-05,closing_mrr,7,1032953.46
2024-06-01,2024-06,opening_mrr,1,1032953.46
2024-06-01,2024-06,new_mrr,2,37197.75
2024-06-01,2024-06,expansion_mrr,3,11741.02
2024-06-01,2024-06,reactivation_mrr,4,0.0
2024-06-01,2024-06,contraction_mrr,5,-3628.45
2024-06-01,2024-06,churned_mrr,6,-11506.36
2024-06-01,2024-06,closing_mrr,7,1066757.42
2024-07-01,2024-07,opening_mrr,1,1066757.42
2024-07-01,2024-07,new_mrr,2,52267.5
2024-07-01,2024-07,expansion_mrr,3,17411.98
2024-07-01,2024-07,reactivation_mrr,4,0.0
2024-07-01,2024-07,contraction_mrr,5,-1126.49
2024-07-01,2024-07,churned_mrr,6,-3535.28
2024-07-01,2024-07,closing_mrr,7,1131775.13
2024-08-01,2024-08,opening_mrr,1,1131775.13
2024-08-01,2024-08,new_mrr,2,60384.9
2024-08-01,2024-08,expansion_mrr,3,13292.52
2024-08-01,2024-08,reactivation_mrr,4,0.0
2024-08-01,2024-08,contraction_mrr,5,-3230.4
2024-08-01,2024-08,churned_mrr,6,-3472.04
2024-08-01,2024-08,closing_mrr,7,1198750.11
2024-09-01,2024-09,opening_mrr,1,1198750.11
2024-09-01,2024-09,new_mrr,2,98271.45
2024-09-01,2024-09,expansion_mrr,3,10149.75
2024-09-01,2024-09,reactivation_mrr,4,0.0
2024-09-01,2024-09,contraction_mrr,5,-888.02
2024-09-01,2024-09,churned_mrr,6,-16981.0
2024-09-01,2024-09,closing_mrr,7,1289302.29
2024-10-01,2024-10,opening_mrr,1,1289302.29
2024-10-01,2024-10,new_mrr,2,58308.4
2024-10-01,2024-10,expansion_mrr,3,6260.31
2024-10-01,2024-10,reactivation_mrr,4,0.0
2024-10-01,2024-10,contraction_mrr,5,-9908.58
2024-10-01,2024-10,churned_mrr,6,-10929.55
2024-10-01,2024-10,closing_mrr,7,1333032.87
2024-11-01,2024-11,opening_mrr,1,1333032.87
2024-11-01,2024-11,new_mrr,2,82906.15
2024-11-01,2024-11,expansion_mrr,3,13303.77
2024-11-01,2024-11,reactivation_mrr,4,0.0
2024-11-01,2024-11,contraction_mrr,5,-9213.88
2024-11-01,2024-11,churned_mrr,6,-17293.67
2024-11-01,2024-11,closing_mrr,7,1402735.24
2024-12-01,2024-12,opening_mrr,1,1402735.24
2024-12-01,2024-12,new_mrr,2,80551.55
2024-12-01,2024-12,expansion_mrr,3,16453.11
2024-12-01,2024-12,reactivation_mrr,4,0.0
2024-12-01,2024-12,contraction_mrr,5,-5875.23
2024-12-01,2024-12,churned_mrr,6,-25265.93
2024-12-01,2024-12,closing_mrr,7,1468598.74
2025-01-01,2025-01,opening_mrr,1,1468598.74
2025-01-01,2025-01,new_mrr,2,56336.2
2025-01-01,2025-01,expansion_mrr,3,15162.06
2025-01-01,2025-01,reactivation_mrr,4,0.0
2025-01-01,2025-01,contraction_mrr,5,-6679.55
2025-01-01,2025-01,churned_mrr,6,-5658.81
2025-01-01,2025-01,closing_mrr,7,1527758.64
2025-02-01,2025-02,opening_mrr,1,1527758.64
2025-02-01,2025-02,new_mrr,2,34956.05
2025-02-01,2025-02,expansion_mrr,3,18253.12
2025-02-01,2025-02,reactivation_mrr,4,0.0
2025-02-01,2025-02,contraction_mrr,5,-6950.77
2025-02-01,2025-02,churned_mrr,6,-2561.94
2025-02-01,2025-02,closing_mrr,7,1571455.1
2025-03-01,2025-03,opening_mrr,1,1571455.1
2025-03-01,2025-03,new_mrr,2,65008.8
2025-03-01,2025-03,expansion_mrr,3,22016.02
2025-03-01,2025-03,reactivation_mrr,4,0.0
2025-03-01,2025-03,contraction_mrr,5,-389.48
2025-03-01,2025-03,churned_mrr,6,-7630.73
2025-03-01,2025-03,closing_mrr,7,1650459.71
2025-04-01,2025-04,opening_mrr,1,1650459.71
2025-04-01,2025-04,new_mrr,2,51228.8
2025-04-01,2025-04,expansion_mrr,3,13987.79
2025-04-01,2025-04,reactivation_mrr,4,0.0
2025-04-01,2025-04,contraction_mrr,5,-14845.24
2025-04-01,2025-04,churned_mrr,6,-3710.22
2025-04-01,2025-04,closing_mrr,7,1697120.84
2025-05-01,2025-05,opening_mrr,1,1697120.84
2025-05-01,2025-05,new_mrr,2,90603.95
2025-05-01,2025-05,expansion_mrr,3,11788.6
2025-05-01,2025-05,reactivation_mrr,4,0.0
2025-05-01,2025-05,contraction_mrr,5,-4723.7
2025-05-01,2025-05,churned_mrr,6,-4473.86
2025-05-01,2025-05,closing_mrr,7,1790315.83
2025-06-01,2025-06,opening_mrr,1,1790315.83
2025-06-01,2025-06,new_mrr,2,80773.95
2025-06-01,2025-06,expansion_mrr,3,13472.49
2025-06-01,2025-06,reactivation_mrr,4,0.0
2025-06-01,2025-06,contraction_mrr,5,-2178.82
2025-06-01,2025-06,churned_mrr,6,-40862.45
2025-06-01,2025-06,closing_mrr,7,1841521.0
2025-07-01,2025-07,opening_mrr,1,1841521.0
2025-07-01,2025-07,new_mrr,2,91799.65
2025-07-01,2025-07,expansion_mrr,3,12988.37
2025-07-01,2025-07,reactivation_mrr,4,0.0
2025-07-01,2025-07,contraction_mrr,5,-5707.25
2025-07-01,2025-07,churned_mrr,6,-3530.74
2025-07-01,2025-07,closing_mrr,7,1937071.03
2025-08-01,2025-08,opening_mrr,1,1937071.03
2025-08-01,2025-08,new_mrr,2,54725.8
2025-08-01,2025-08,expansion_mrr,3,18212.0
2025-08-01,2025-08,reactivation_mrr,4,0.0
2025-08-01,2025-08,contraction_mrr,5,-4724.89
2025-08-01,2025-08,churned_mrr,6,-1506.9
2025-08-01,2025-08,closing_mrr,7,2003777.04
2025-09-01,2025-09,opening_mrr,1,2003777.04
2025-09-01,2025-09,new_mrr,2,43936.7
2025-09-01,2025-09,expansion_mrr,3,14514.91
2025-09-01,2025-09,reactivation_mrr,4,0.0
2025-09-01,2025-09,contraction_mrr,5,-7561.27
2025-09-01,2025-09,churned_mrr,6,-4160.51
2025-09-01,2025-09,closing_mrr,7,2050506.87
2025-10-01,2025-10,opening_mrr,1,2050506.87
2025-10-01,2025-10,new_mrr,2,62841.65
2025-10-01,2025-10,expansion_mrr,3,27349.2
2025-10-01,2025-10,reactivation_mrr,4,0.0
2025-10-01,2025-10,contraction_mrr,5,-10481.03
2025-10-01,2025-10,churned_mrr,6,-7601.64
2025-10-01,2025-10,closing_mrr,7,2122615.05
2025-11-01,2025-11,opening_mrr,1,2122615.05
2025-11-01,2025-11,new_mrr,2,39922.55
2025-11-01,2025-11,expansion_mrr,3,21904.89
2025-11-01,2025-11,reactivation_mrr,4,0.0
2025-11-01,2025-11,contraction_mrr,5,-7527.96
2025-11-01,2025-11,churned_mrr,6,-2597.89
2025-11-01,2025-11,closing_mrr,7,2174316.64
2025-12-01,2025-12,opening_mrr,1,2174316.64
2025-12-01,2025-12,new_mrr,2,61123.55
2025-12-01,2025-12,expansion_mrr,3,17342.09
2025-12-01,2025-12,reactivation_mrr,4,0.0
2025-12-01,2025-12,contraction_mrr,5,-2929.51
2025-12-01,2025-12,churned_mrr,6,-335100.15
2025-12-01,2025-12,closing_mrr,7,1914752.62
