month_start,segment,plan_name,acquisition_channel,opening_mrr,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churned_mrr,closing_mrr
2023-02-01,mid-market,Growth,Events,2899.3,0.0,0.0,0.0,0.0,0.0,2899.3
2023-02-01,mid-market,Growth,Outbound,0.0,1343.0,0.0,0.0,0.0,0.0,1343.0
2023-02-01,mid-market,Growth,Paid Search,1185.0,1817.0,0.0,0.0,0.0,0.0,3002.0
2023-02-01,mid-market,Starter,Organic,0.0,195.0,0.0,0.0,0.0,0.0,195.0
2023-02-01,mid-market,Starter,Outbound,0.0,934.05,0.0,0.0,0.0,0.0,934.05
2023-02-01,mid-market,Starter,Paid Search,0.0,468.0,0.0,0.0,0.0,0.0,468.0
2023-02-01,mid-market,Starter,Partner,0.0,165.75,0.0,0.0,0.0,0.0,165.75
2023-02-01,smb,Enterprise,Events,0.0,12367.0,0.0,0.0,0.0,0.0,12367.0
2023-02-01,smb,Enterprise,Organic,0.0,17433.0,0.0,0.0,0.0,0.0,17433.0
2023-02-01,smb,Enterprise,Outbound,0.0,21754.0,0.0,0.0,0.0,0.0,21754.0
2023-02-01,smb,Enterprise,Paid Search,11398.5,0.0,0.0,0.0,0.0,0.0,11398.5
2023-02-01,smb,Enterprise,Partner,0.0,12277.6,0.0,0.0,0.0,0.0,12277.6
2023-02-01,smb,Growth,Events,948.0,1975.0,0.0,0.0,0.0,0.0,2923.0
2023-02-01,smb,Growth,Organic,2061.9,1817.0,0.0,0.0,0.0,0.0,3878.9
2023-02-01,smb,Growth,Outbound,0.0,4661.0,0.0,0.0,0.0,0.0,4661.0
2023-02-01,smb,Growth,Paid Search,4668.9,0.0,0.0,0.0,0.0,0.0,4668.9
2023-02-01,smb,Growth,Partner,1501.0,1580.0,0.0,0.0,0.0,0.0,3081.0
2023-02-01,smb,Starter,Events,631.8,1058.85,0.0,0.0,0.0,0.0,1690.65
2023-02-01,smb,Starter,Organic,0.0,444.6,0.0,0.0,0.0,0.0,444.6
2023-02-01,smb,Starter,Outbound,0.0,588.9,0.0,0.0,0.0,0.0,588.9
2023-02-01,smb,Starter,Paid Search,298.35,210.6,0.0,0.0,0.0,0.0,508.95
2023-02-01,smb,Starter,Partner,0.0,1216.8,0.0,0.0,0.0,0.0,1216.8
2023-03-01,enterprise,Growth,Organic,948.0,0.0,0.0,0.0,0.0,0.0,948.0
2023-03-01,enterprise,Growth,Outbound,0.0,3871.0,0.0,0.0,0.0,0.0,3871.0
2023-03-01,enterprise,Starter,Events,690.3,195.0,0.0,0.0,0.0,0.0,885.3
2023-03-01,enterprise,Starter,Organic,0.0,234.0,0.0,0.0,0.0,0.0,234.0
2023-03-01,enterprise,Starter,Outbound,245.7,0.0,0.0,0.0,0.0,0.0,245.7
2023-03-01,enterprise,Starter,Paid Search,195.0,0.0,0.0,0.0,0.0,0.0,195.0
2023-03-01,mid-market,Enterprise,Events,27267.0,0.0,0.0,0.0,6816.75,0.0,20450.25
2023-03-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-03-01,mid-market,Enterprise,Outbound,7450.0,9089.0,0.0,0.0,0.0,0.0,16539.0
2023-03-01,mid-market,Enterprise,Partner,17641.6,0.0,2576.21,0.0,0.0,0.0,20217.81
2023-03-01,mid-market,Growth,Events,2899.3,0.0,0.0,0.0,0.0,0.0,2899.3
2023-03-01,mid-market,Growth,Organic,0.0,1264.0,0.0,0.0,0.0,0.0,1264.0
2023-03-01,mid-market,Growth,Outbound,1343.0,0.0,0.0,0.0,0.0,0.0,1343.0
2023-03-01,mid-market,Growth,Paid Search,3002.0,3847.3,0.0,0.0,0.0,0.0,6849.3
2023-03-01,mid-market,Growth,Partner,0.0,5079.7,0.0,0.0,0.0,0.0,5079.7
2023-03-01,mid-market,Starter,Events,0.0,312.0,0.0,0.0,0.0,0.0,312.0
2023-03-01,mid-market,Starter,Organic,195.0,175.5,0.0,0.0,0.0,0.0,370.5
2023-03-01,mid-market,Starter,Outbound,934.05,0.0,0.0,0.0,0.0,0.0,934.05
2023-03-01,mid-market,Starter,Paid Search,468.0,569.4,0.0,0.0,0.0,0.0,1037.4
2023-03-01,mid-market,Starter,Partner,165.75,374.4,0.0,0.0,0.0,0.0,540.15
2023-03-01,smb,Enterprise,Events,12367.0,0.0,0.0,0.0,0.0,0.0,12367.0
2023-03-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-03-01,smb,Enterprise,Outbound,21754.0,11920.0,0.0,0.0,0.0,0.0,33674.0
2023-03-01,smb,Enterprise,Paid Search,11398.5,0.0,0.0,0.0,0.0,0.0,11398.5
2023-03-01,smb,Enterprise,Partner,12277.6,0.0,0.0,0.0,0.0,0.0,12277.6
2023-03-01,smb,Growth,Events,2923.0,4242.3,0.0,0.0,0.0,0.0,7165.3
2023-03-01,smb,Growth,Organic,3878.9,0.0,363.4,0.0,0.0,0.0,4242.3
2023-03-01,smb,Growth,Outbound,4661.0,2567.5,0.0,0.0,0.0,0.0,7228.5
2023-03-01,smb,Growth,Paid Search,4668.9,1564.2,0.0,0.0,0.0,0.0,6233.1
2023-03-01,smb,Growth,Partner,3081.0,0.0,0.0,0.0,0.0,0.0,3081.0
2023-03-01,smb,Starter,Events,1690.65,0.0,109.2,0.0,0.0,0.0,1799.85
2023-03-01,smb,Starter,Organic,444.6,495.3,0.0,0.0,0.0,0.0,939.9
2023-03-01,smb,Starter,Outbound,588.9,936.0,0.0,0.0,0.0,0.0,1524.9
2023-03-01,smb,Starter,Paid Search,508.95,273.0,0.0,0.0,0.0,0.0,781.95
2023-03-01,smb,Starter,Partner,1216.8,0.0,46.8,0.0,0.0,0.0,1263.6
2023-04-01,enterprise,Enterprise,Events,0.0,12963.0,0.0,0.0,0.0,0.0,12963.0
2023-04-01,enterprise,Growth,Organic,948.0,0.0,0.0,0.0,0.0,0.0,948.0
2023-04-01,enterprise,Growth,Outbound,3871.0,0.0,0.0,0.0,0.0,0.0,3871.0
2023-04-01,enterprise,Starter,Events,885.3,195.0,0.0,0.0,0.0,0.0,1080.3
2023-04-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-04-01,enterprise,Starter,Outbound,245.7,210.6,0.0,0.0,0.0,0.0,456.3
2023-04-01,enterprise,Starter,Paid Search,195.0,0.0,0.0,0.0,0.0,0.0,195.0
2023-04-01,mid-market,Enterprise,Events,20450.25,0.0,0.0,0.0,0.0,0.0,20450.25
2023-04-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-04-01,mid-market,Enterprise,Outbound,16539.0,0.0,0.0,0.0,0.0,0.0,16539.0
2023-04-01,mid-market,Enterprise,Partner,20217.81,6965.75,0.0,0.0,0.0,0.0,27183.56
2023-04-01,mid-market,Growth,Events,2899.3,1975.0,0.0,0.0,0.0,0.0,4874.3
2023-04-01,mid-market,Growth,Organic,1264.0,4424.0,0.0,0.0,0.0,0.0,5688.0
2023-04-01,mid-market,Growth,Outbound,1343.0,0.0,0.0,0.0,0.0,0.0,1343.0
2023-04-01,mid-market,Growth,Paid Search,6849.3,1185.0,0.0,0.0,0.0,0.0,8034.3
2023-04-01,mid-market,Growth,Partner,5079.7,3033.6,0.0,0.0,0.0,0.0,8113.3
2023-04-01,mid-market,Starter,Events,312.0,0.0,0.0,0.0,0.0,0.0,312.0
2023-04-01,mid-market,Starter,Organic,370.5,0.0,0.0,0.0,0.0,0.0,370.5
2023-04-01,mid-market,Starter,Outbound,934.05,555.75,0.0,0.0,0.0,0.0,1489.8
2023-04-01,mid-market,Starter,Paid Search,1037.4,429.0,0.0,0.0,0.0,0.0,1466.4
2023-04-01,mid-market,Starter,Partner,540.15,0.0,0.0,0.0,0.0,0.0,540.15
2023-04-01,smb,Enterprise,Events,12367.0,8716.5,0.0,0.0,0.0,0.0,21083.5
2023-04-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-04-01,smb,Enterprise,Outbound,33674.0,0.0,0.0,0.0,0.0,0.0,33674.0
2023-04-01,smb,Enterprise,Paid Search,11398.5,0.0,0.0,0.0,0.0,0.0,11398.5
2023-04-01,smb,Enterprise,Partner,12277.6,0.0,0.0,0.0,0.0,0.0,12277.6
2023-04-01,smb,Growth,Events,7165.3,1678.75,0.0,0.0,395.0,0.0,8449.05
2023-04-01,smb,Growth,Organic,4242.3,0.0,0.0,0.0,0.0,0.0,4242.3
2023-04-01,smb,Growth,Outbound,7228.5,1141.55,0.0,0.0,0.0,0.0,8370.05
2023-04-01,smb,Growth,Paid Search,6233.1,2733.4,312.84,0.0,0.0,0.0,9279.34
2023-04-01,smb,Growth,Partner,3081.0,1678.75,0.0,0.0,0.0,0.0,4759.75
2023-04-01,smb,Starter,Events,1799.85,195.0,98.28,0.0,0.0,0.0,2093.13
2023-04-01,smb,Starter,Organic,939.9,222.3,0.0,0.0,0.0,0.0,1162.2
2023-04-01,smb,Starter,Outbound,1524.9,234.0,0.0,0.0,0.0,0.0,1758.9
2023-04-01,smb,Starter,Paid Search,781.95,663.0,0.0,0.0,0.0,0.0,1444.95
2023-04-01,smb,Starter,Partner,1263.6,877.5,0.0,0.0,0.0,0.0,2141.1
2023-05-01,enterprise,Enterprise,Events,12963.0,0.0,0.0,0.0,0.0,0.0,12963.0
2023-05-01,enterprise,Growth,Events,0.0,1422.0,0.0,0.0,0.0,0.0,1422.0
2023-05-01,enterprise,Growth,Organic,948.0,1007.25,0.0,0.0,0.0,0.0,1955.25
2023-05-01,enterprise,Growth,Outbound,3871.0,0.0,0.0,0.0,0.0,0.0,3871.0
2023-05-01,enterprise,Starter,Events,1080.3,312.0,0.0,0.0,0.0,0.0,1392.3
2023-05-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-05-01,enterprise,Starter,Outbound,456.3,0.0,0.0,0.0,0.0,0.0,456.3
2023-05-01,enterprise,Starter,Paid Search,195.0,0.0,0.0,0.0,0.0,0.0,195.0
2023-05-01,mid-market,Enterprise,Events,20450.25,9245.45,0.0,0.0,0.0,0.0,29695.7
2023-05-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-05-01,mid-market,Enterprise,Outbound,16539.0,0.0,0.0,0.0,0.0,0.0,16539.0
2023-05-01,mid-market,Enterprise,Partner,27183.56,29502.0,2438.01,0.0,0.0,0.0,59123.57
2023-05-01,mid-market,Growth,Events,4874.3,0.0,0.0,0.0,0.0,0.0,4874.3
2023-05-01,mid-market,Growth,Organic,5688.0,0.0,0.0,0.0,0.0,0.0,5688.0
2023-05-01,mid-market,Growth,Outbound,1343.0,0.0,0.0,0.0,0.0,0.0,1343.0
2023-05-01,mid-market,Growth,Paid Search,8034.3,5644.55,0.0,0.0,0.0,0.0,13678.85
2023-05-01,mid-market,Growth,Partner,8113.3,0.0,0.0,0.0,0.0,0.0,8113.3
2023-05-01,mid-market,Starter,Events,312.0,0.0,0.0,0.0,0.0,0.0,312.0
2023-05-01,mid-market,Starter,Organic,370.5,0.0,0.0,0.0,0.0,0.0,370.5
2023-05-01,mid-market,Starter,Outbound,1489.8,741.0,0.0,0.0,0.0,0.0,2230.8
2023-05-01,mid-market,Starter,Paid Search,1466.4,195.0,0.0,0.0,0.0,0.0,1661.4
2023-05-01,mid-market,Starter,Partner,540.15,0.0,0.0,0.0,0.0,0.0,540.15
2023-05-01,smb,Enterprise,Events,21083.5,0.0,0.0,0.0,0.0,0.0,21083.5
2023-05-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-05-01,smb,Enterprise,Outbound,33674.0,0.0,0.0,0.0,0.0,0.0,33674.0
2023-05-01,smb,Enterprise,Paid Search,11398.5,9766.95,0.0,0.0,0.0,0.0,21165.45
2023-05-01,smb,Enterprise,Partner,12277.6,0.0,0.0,0.0,0.0,0.0,12277.6
2023-05-01,smb,Growth,Events,8449.05,1425.95,587.56,0.0,0.0,0.0,10462.56
2023-05-01,smb,Growth,Organic,4242.3,2385.8,0.0,0.0,0.0,0.0,6628.1
2023-05-01,smb,Growth,Outbound,8370.05,2828.2,0.0,0.0,0.0,0.0,11198.25
2023-05-01,smb,Growth,Paid Search,9279.34,4803.2,0.0,0.0,0.0,0.0,14082.54
2023-05-01,smb,Growth,Partner,4759.75,1410.15,0.0,0.0,419.69,0.0,5750.21
2023-05-01,smb,Starter,Events,2093.13,663.0,0.0,0.0,0.0,0.0,2756.13
2023-05-01,smb,Starter,Organic,1162.2,0.0,0.0,0.0,0.0,0.0,1162.2
2023-05-01,smb,Starter,Outbound,1758.9,245.7,0.0,0.0,0.0,0.0,2004.6
2023-05-01,smb,Starter,Paid Search,1444.95,522.6,0.0,0.0,0.0,0.0,1967.55
2023-05-01,smb,Starter,Partner,2141.1,544.05,53.04,0.0,0.0,0.0,2738.19
2023-06-01,enterprise,Enterprise,Events,12963.0,0.0,0.0,0.0,0.0,0.0,12963.0
2023-06-01,enterprise,Growth,Events,1422.0,0.0,0.0,0.0,0.0,0.0,1422.0
2023-06-01,enterprise,Growth,Organic,1955.25,0.0,0.0,0.0,0.0,0.0,1955.25
2023-06-01,enterprise,Growth,Outbound,3871.0,0.0,0.0,0.0,0.0,0.0,3871.0
2023-06-01,enterprise,Starter,Events,1392.3,0.0,44.46,0.0,0.0,0.0,1436.76
2023-06-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-06-01,enterprise,Starter,Outbound,456.3,0.0,0.0,0.0,0.0,0.0,456.3
2023-06-01,enterprise,Starter,Paid Search,195.0,0.0,0.0,0.0,0.0,0.0,195.0
2023-06-01,mid-market,Enterprise,Events,29695.7,0.0,0.0,0.0,0.0,0.0,29695.7
2023-06-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-06-01,mid-market,Enterprise,Outbound,16539.0,0.0,1817.8,0.0,0.0,0.0,18356.8
2023-06-01,mid-market,Enterprise,Partner,59123.57,0.0,0.0,0.0,2570.25,0.0,56553.32
2023-06-01,mid-market,Growth,Events,4874.3,0.0,0.0,0.0,0.0,0.0,4874.3
2023-06-01,mid-market,Growth,Organic,5688.0,0.0,0.0,0.0,0.0,0.0,5688.0
2023-06-01,mid-market,Growth,Outbound,1343.0,1659.0,0.0,0.0,0.0,0.0,3002.0
2023-06-01,mid-market,Growth,Paid Search,13678.85,1125.75,0.0,0.0,0.0,0.0,14804.6
2023-06-01,mid-market,Growth,Partner,8113.3,1208.7,0.0,0.0,0.0,0.0,9322.0
2023-06-01,mid-market,Starter,Events,312.0,0.0,0.0,0.0,0.0,0.0,312.0
2023-06-01,mid-market,Starter,Organic,370.5,0.0,0.0,0.0,0.0,0.0,370.5
2023-06-01,mid-market,Starter,Outbound,2230.8,0.0,0.0,0.0,0.0,0.0,2230.8
2023-06-01,mid-market,Starter,Paid Search,1661.4,0.0,0.0,0.0,0.0,0.0,1661.4
2023-06-01,mid-market,Starter,Partner,540.15,0.0,0.0,0.0,0.0,0.0,540.15
2023-06-01,smb,Enterprise,Events,21083.5,7450.0,0.0,0.0,0.0,0.0,28533.5
2023-06-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-06-01,smb,Enterprise,Outbound,33674.0,0.0,0.0,0.0,0.0,0.0,33674.0
2023-06-01,smb,Enterprise,Paid Search,21165.45,7450.0,0.0,0.0,0.0,0.0,28615.45
2023-06-01,smb,Enterprise,Partner,12277.6,0.0,0.0,0.0,0.0,0.0,12277.6
2023-06-01,smb,Growth,Events,10462.56,1264.0,691.25,0.0,356.49,0.0,12061.32
2023-06-01,smb,Growth,Organic,6628.1,1659.0,0.0,0.0,0.0,0.0,8287.1
2023-06-01,smb,Growth,Outbound,11198.25,0.0,0.0,0.0,0.0,0.0,11198.25
2023-06-01,smb,Growth,Paid Search,14082.54,1007.25,0.0,0.0,0.0,0.0,15089.79
2023-06-01,smb,Growth,Partner,5750.21,2310.75,0.0,0.0,0.0,0.0,8060.96
2023-06-01,smb,Starter,Events,2756.13,0.0,0.0,0.0,79.56,0.0,2676.57
2023-06-01,smb,Starter,Organic,1162.2,713.7,0.0,0.0,0.0,0.0,1875.9
2023-06-01,smb,Starter,Outbound,2004.6,686.4,0.0,0.0,0.0,0.0,2691.0
2023-06-01,smb,Starter,Paid Search,1967.55,0.0,0.0,0.0,0.0,0.0,1967.55
2023-06-01,smb,Starter,Partner,2738.19,674.7,0.0,0.0,0.0,0.0,3412.89
2023-07-01,enterprise,Enterprise,Events,12963.0,0.0,0.0,0.0,0.0,0.0,12963.0
2023-07-01,enterprise,Growth,Events,1422.0,0.0,0.0,0.0,0.0,0.0,1422.0
2023-07-01,enterprise,Growth,Organic,1955.25,1279.8,0.0,0.0,0.0,0.0,3235.05
2023-07-01,enterprise,Growth,Outbound,3871.0,0.0,0.0,0.0,0.0,0.0,3871.0
2023-07-01,enterprise,Starter,Events,1436.76,0.0,93.37,0.0,0.0,0.0,1530.13
2023-07-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-07-01,enterprise,Starter,Outbound,456.3,0.0,0.0,0.0,0.0,0.0,456.3
2023-07-01,enterprise,Starter,Paid Search,195.0,526.5,0.0,0.0,0.0,0.0,721.5
2023-07-01,enterprise,Starter,Partner,0.0,296.4,0.0,0.0,0.0,0.0,296.4
2023-07-01,mid-market,Enterprise,Events,29695.7,0.0,0.0,0.0,0.0,0.0,29695.7
2023-07-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-07-01,mid-market,Enterprise,Outbound,18356.8,19161.4,0.0,0.0,0.0,0.0,37518.2
2023-07-01,mid-market,Enterprise,Partner,56553.32,0.0,0.0,0.0,0.0,0.0,56553.32
2023-07-01,mid-market,Growth,Events,4874.3,1007.25,0.0,0.0,0.0,0.0,5881.55
2023-07-01,mid-market,Growth,Organic,5688.0,0.0,0.0,0.0,0.0,0.0,5688.0
2023-07-01,mid-market,Growth,Outbound,3002.0,0.0,331.8,0.0,0.0,0.0,3333.8
2023-07-01,mid-market,Growth,Paid Search,14804.6,1501.0,0.0,0.0,0.0,0.0,16305.6
2023-07-01,mid-market,Growth,Partner,9322.0,3302.2,0.0,0.0,0.0,0.0,12624.2
2023-07-01,mid-market,Starter,Events,312.0,280.8,0.0,0.0,0.0,0.0,592.8
2023-07-01,mid-market,Starter,Organic,370.5,429.0,0.0,0.0,0.0,0.0,799.5
2023-07-01,mid-market,Starter,Outbound,2230.8,390.0,172.67,0.0,43.88,0.0,2749.59
2023-07-01,mid-market,Starter,Paid Search,1661.4,429.0,0.0,0.0,0.0,0.0,2090.4
2023-07-01,mid-market,Starter,Partner,540.15,0.0,33.15,0.0,0.0,0.0,573.3
2023-07-01,smb,Enterprise,Events,28533.5,0.0,0.0,0.0,0.0,0.0,28533.5
2023-07-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-07-01,smb,Enterprise,Outbound,33674.0,0.0,0.0,0.0,0.0,0.0,33674.0
2023-07-01,smb,Enterprise,Paid Search,28615.45,7107.3,0.0,0.0,0.0,0.0,35722.75
2023-07-01,smb,Enterprise,Partner,12277.6,8940.0,0.0,0.0,0.0,0.0,21217.6
2023-07-01,smb,Growth,Events,12061.32,1185.0,453.26,0.0,0.0,0.0,13699.58
2023-07-01,smb,Growth,Organic,8287.1,0.0,0.0,0.0,0.0,0.0,8287.1
2023-07-01,smb,Growth,Outbound,11198.25,0.0,718.9,0.0,0.0,0.0,11917.15
2023-07-01,smb,Growth,Paid Search,15089.79,2559.6,0.0,0.0,0.0,0.0,17649.39
2023-07-01,smb,Growth,Partner,8060.96,1659.0,0.0,0.0,0.0,0.0,9719.96
2023-07-01,smb,Starter,Events,2676.57,234.0,47.74,0.0,96.52,0.0,2861.79
2023-07-01,smb,Starter,Organic,1875.9,0.0,0.0,0.0,0.0,0.0,1875.9
2023-07-01,smb,Starter,Outbound,2691.0,639.6,95.55,0.0,0.0,0.0,3426.15
2023-07-01,smb,Starter,Paid Search,1967.55,877.5,0.0,0.0,0.0,0.0,2845.05
2023-07-01,smb,Starter,Partner,3412.89,969.15,111.38,0.0,0.0,0.0,4493.42
2023-08-01,enterprise,Enterprise,Events,12963.0,13112.0,0.0,0.0,0.0,0.0,26075.0
2023-08-01,enterprise,Growth,Events,1422.0,0.0,0.0,0.0,0.0,0.0,1422.0
2023-08-01,enterprise,Growth,Organic,3235.05,0.0,0.0,0.0,0.0,0.0,3235.05
2023-08-01,enterprise,Growth,Outbound,3871.0,2464.8,0.0,0.0,335.75,0.0,6000.05
2023-08-01,enterprise,Starter,Events,1530.13,0.0,0.0,0.0,0.0,0.0,1530.13
2023-08-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-08-01,enterprise,Starter,Outbound,456.3,507.0,0.0,0.0,0.0,0.0,963.3
2023-08-01,enterprise,Starter,Paid Search,721.5,0.0,0.0,0.0,43.88,0.0,677.62
2023-08-01,enterprise,Starter,Partner,296.4,0.0,0.0,0.0,0.0,0.0,296.4
2023-08-01,mid-market,Enterprise,Events,29695.7,0.0,0.0,0.0,0.0,0.0,29695.7
2023-08-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-08-01,mid-market,Enterprise,Outbound,37518.2,0.0,0.0,0.0,0.0,0.0,37518.2
2023-08-01,mid-market,Enterprise,Partner,56553.32,7450.0,0.0,0.0,0.0,0.0,64003.32
2023-08-01,mid-market,Growth,Events,5881.55,0.0,0.0,0.0,0.0,0.0,5881.55
2023-08-01,mid-market,Growth,Organic,5688.0,0.0,0.0,0.0,0.0,0.0,5688.0
2023-08-01,mid-market,Growth,Outbound,3333.8,0.0,0.0,0.0,0.0,0.0,3333.8
2023-08-01,mid-market,Growth,Paid Search,16305.6,1343.0,1445.7,0.0,0.0,0.0,19094.3
2023-08-01,mid-market,Growth,Partner,12624.2,0.0,0.0,0.0,0.0,0.0,12624.2
2023-08-01,mid-market,Starter,Events,592.8,234.0,0.0,0.0,0.0,0.0,826.8
2023-08-01,mid-market,Starter,Organic,799.5,0.0,0.0,0.0,0.0,0.0,799.5
2023-08-01,mid-market,Starter,Outbound,2749.59,234.0,0.0,0.0,0.0,0.0,2983.59
2023-08-01,mid-market,Starter,Paid Search,2090.4,1029.6,46.8,0.0,0.0,0.0,3166.8
2023-08-01,mid-market,Starter,Partner,573.3,0.0,0.0,0.0,49.72,0.0,523.58
2023-08-01,smb,Enterprise,Events,28533.5,0.0,0.0,0.0,0.0,0.0,28533.5
2023-08-01,smb,Enterprise,Organic,17433.0,0.0,0.0,0.0,0.0,0.0,17433.0
2023-08-01,smb,Enterprise,Outbound,33674.0,0.0,0.0,0.0,0.0,0.0,33674.0
2023-08-01,smb,Enterprise,Paid Search,35722.75,0.0,0.0,0.0,0.0,0.0,35722.75
2023-08-01,smb,Enterprise,Partner,21217.6,10474.7,3129.0,0.0,0.0,0.0,34821.3
2023-08-01,smb,Growth,Events,13699.58,2449.0,0.0,0.0,0.0,0.0,16148.58
2023-08-01,smb,Growth,Organic,8287.1,7200.85,240.16,0.0,0.0,0.0,15728.11
2023-08-01,smb,Growth,Outbound,11917.15,0.0,0.0,0.0,0.0,0.0,11917.15
2023-08-01,smb,Growth,Paid Search,17649.39,4029.0,0.0,0.0,0.0,0.0,21678.39
2023-08-01,smb,Growth,Partner,9719.96,3792.0,853.2,0.0,0.0,0.0,14365.16
2023-08-01,smb,Starter,Events,2861.79,813.15,68.25,0.0,0.0,0.0,3743.19
2023-08-01,smb,Starter,Organic,1875.9,333.45,0.0,0.0,0.0,0.0,2209.35
2023-08-01,smb,Starter,Outbound,3426.15,195.0,0.0,0.0,0.0,0.0,3621.15
2023-08-01,smb,Starter,Paid Search,2845.05,273.0,0.0,0.0,0.0,0.0,3118.05
2023-08-01,smb,Starter,Partner,4493.42,280.8,0.0,0.0,0.0,0.0,4774.22
2023-09-01,enterprise,Enterprise,Events,26075.0,0.0,2592.6,0.0,0.0,0.0,28667.6
2023-09-01,enterprise,Enterprise,Partner,0.0,6965.75,0.0,0.0,0.0,0.0,6965.75
2023-09-01,enterprise,Growth,Events,1422.0,0.0,0.0,0.0,0.0,0.0,1422.0
2023-09-01,enterprise,Growth,Organic,3235.05,0.0,255.96,0.0,0.0,0.0,3491.01
2023-09-01,enterprise,Growth,Outbound,6000.05,0.0,0.0,0.0,0.0,0.0,6000.05
2023-09-01,enterprise,Starter,Events,1530.13,678.6,0.0,0.0,0.0,0.0,2208.73
2023-09-01,enterprise,Starter,Organic,234.0,0.0,0.0,0.0,0.0,0.0,234.0
2023-09-01,enterprise,Starter,Outbound,963.3,536.25,0.0,0.0,0.0,0.0,1499.55
2023-09-01,enterprise,Starter,Paid Search,677.62,0.0,0.0,0.0,0.0,0.0,677.62
2023-09-01,enterprise,Starter,Partner,296.4,0.0,0.0,0.0,0.0,0.0,296.4
2023-09-01,mid-market,Enterprise,Events,29695.7,0.0,0.0,0.0,0.0,0.0,29695.7
2023-09-01,mid-market,Enterprise,Organic,11040.9,7450.0,0.0,0.0,0.0,0.0,18490.9
2023-09-01,mid-market,Enterprise,Outbound,37518.2,8850.6,0.0,0.0,0.0,0.0,46368.8
2023-09-01,mid-market,Enterprise,Partner,64003.32,0.0,0.0,0.0,0.0,0.0,64003.32
2023-09-01,mid-market,Growth,Events,5881.55,0.0,0.0,0.0,0.0,0.0,5881.55
